metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,feature_type,observation_window,required_raw_datapoints,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models,signal_shape_inferred,definition
RackStack_WorkstreamSummary,RackStack WorkstreamSummary,yaml_scope_field,job_context,J_DOMAIN_RACK_AND_STACK,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
WSSAPMakeModel_RemotePredictive,WSSAPMakeModel RemotePredictive,yaml_scope_field,job_context,J_DOMAIN_WIRELESS,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,Auto-generated baseline rule: required when its source domain section is active.
WSSCoverageFrequency_RemotePredictive,WSSCoverageFrequency RemotePredictive,yaml_scope_field,job_context,J_DOMAIN_WIRELESS,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,Auto-generated baseline rule: required when its source domain section is active.
WSSGradeServicesSupported_RemotePredictive,WSSGradeServicesSupported RemotePredictive,yaml_scope_field,job_context,J_DOMAIN_WIRELESS,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,Auto-generated baseline rule: required when its source domain section is active.
StaffAug_WorkstreamSummary,StaffAug WorkstreamSummary,yaml_scope_field,job_context,J_DOMAIN_STAFF_AUG,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
StaffAug_RolesRequested,StaffAug RolesRequested,yaml_scope_field,job_context,J_DOMAIN_STAFF_AUG,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Telecom_WorkstreamSummary,Telecom WorkstreamSummary,yaml_scope_field,job_context,J_DOMAIN_TELECOM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Wireless_WorkstreamSummary,Wireless WorkstreamSummary,yaml_scope_field,job_context,J_DOMAIN_WIRELESS,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ALM_CICDTool,ALM CICDTool,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ALM_SourceControlSystem,ALM SourceControlSystem,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=policy_from_clause_or_section,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ALM_EnvironmentsInScope,ALM EnvironmentsInScope,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ALM_ReleaseCadence,ALM ReleaseCadence,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ALM_WorkManagementTool,ALM WorkManagementTool,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Audit_Deliverables,Audit Deliverables,yaml_scope_field,job_context,J_DOMAIN_AUDIT,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Audit_AuditType,Audit AuditType,yaml_scope_field,job_context,J_DOMAIN_AUDIT,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Migration_CutoverWindow,Migration CutoverWindow,yaml_scope_field,job_context,J_DOMAIN_DATA_MIGRATION,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=time_window_from_explicit_schedule_mentions,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Migration_SourceSystems,Migration SourceSystems,yaml_scope_field,job_context,J_DOMAIN_DATA_MIGRATION,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Migration_TargetSystems,Migration TargetSystems,yaml_scope_field,job_context,J_DOMAIN_DATA_MIGRATION,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Migration_ValidationApproach,Migration ValidationApproach,yaml_scope_field,job_context,J_DOMAIN_DATA_MIGRATION,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Hardware_ShippingDestinations,Hardware ShippingDestinations,yaml_scope_field,job_context,J_DOMAIN_HARDWARE,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Hardware_BOMAvailable,Hardware BOMAvailable,yaml_scope_field,job_context,J_DOMAIN_ALM,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Hardware_LeadTimeConstraints,Hardware LeadTimeConstraints,yaml_scope_field,job_context,J_DOMAIN_HARDWARE,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=policy_from_clause_or_section,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Hardware_ProcurementResponsibility,Hardware ProcurementResponsibility,yaml_scope_field,job_context,J_DOMAIN_HARDWARE,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
Hardware_StagingImagingRequired,Hardware StagingImagingRequired,yaml_scope_field,job_context,J_DOMAIN_HARDWARE,scalar,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=enum_match_then_validate | extractor=boolean_from_explicit_yes_no_or_required_phrase,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: requiredness driven by service-line domain/subdomain activation.
IMAC_MoveOrInstallDates,IMAC MoveOrInstallDates,yaml_scope_field,job_context,J_DOMAIN_IMAC,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=schedule_dates_from_move_plan_or_calendar_rows,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
IMAC_WorkstationCount,IMAC WorkstationCount,yaml_scope_field,job_context,J_DOMAIN_IMAC,count_aggregate,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=count_parser | extractor=numeric_from_explicit_count_or_table,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_CollectionMethod,ITAD CollectionMethod,yaml_scope_field,job_context,J_DOMAIN_ITAD,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_PackoutPackagingRequired,ITAD PackoutPackagingRequired,yaml_scope_field,job_context,J_DOMAIN_ITAD,scalar,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=enum_match_then_validate | extractor=boolean_from_explicit_yes_no_or_required_phrase,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_SitesInScope,ITAD SitesInScope,yaml_scope_field,job_context,J_DOMAIN_ITAD,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_LogisticsWindow,ITAD LogisticsWindow,yaml_scope_field,job_context,J_DOMAIN_ITAD,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=time_window_from_explicit_schedule_mentions,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_DataSanitizationStandard,ITAD DataSanitizationStandard,yaml_scope_field,job_context,J_DOMAIN_ITAD,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=candidate_span_selection | extractor=identifier_from_reference_table_or_explicit_label,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_ApproxAssetCount,ITAD ApproxAssetCount,yaml_scope_field,job_context,J_DOMAIN_AUDIT,count_aggregate,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=count_parser | extractor=numeric_from_explicit_count_or_table,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_AssetTypesInScope,ITAD AssetTypesInScope,yaml_scope_field,job_context,J_DOMAIN_AUDIT,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_batched_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: requiredness driven by service-line domain/subdomain activation.
ITAD_SerialCaptureRequired,ITAD SerialCaptureRequired,yaml_scope_field,job_context,J_DOMAIN_AUDIT,scalar,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=enum_match_then_validate | extractor=boolean_from_explicit_yes_no_or_required_phrase,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: requiredness driven by service-line domain/subdomain activation.
