metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models
TotalDrops_RetailSpace_DataNetworkDrops,TotalDrops RetailSpace DataNetworkDrops,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
TotalDrops_Warehouse_DataNetworkDrops,TotalDrops Warehouse DataNetworkDrops,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
TypeofPatchPanels_DataNetworkDrops,TypeofPatchPanels DataNetworkDrops,yaml_scope_field,job_context,J_DOMAIN_LOW_VOLTAGE_CABLING,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_Datacenter_DMARCExtension,APRunsLocation Datacenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_DistributionCenter_DMARCExtension,APRunsLocation DistributionCenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_EducationalInstitutionalSpace_DMARCExtension,APRunsLocation EducationalInstitutionalSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_EntertainmentSpace_DMARCExtension,APRunsLocation EntertainmentSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_Government_DMARCExtension,APRunsLocation Government DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_HighRise_DMARCExtension,APRunsLocation HighRise DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_HospitalBuilding_DMARCExtension,APRunsLocation HospitalBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_HospitalityBuilding_DMARCExtension,APRunsLocation HospitalityBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_OfficeSpace_DMARCExtension,APRunsLocation OfficeSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_Restaurant_DMARCExtension,APRunsLocation Restaurant DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_RetailSpace_DMARCExtension,APRunsLocation RetailSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
APRunsLocation_Warehouse_DMARCExtension,APRunsLocation Warehouse DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_Datacenter_DMARCExtension,BoomScissorLiftSize Datacenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_DistributionCenter_DMARCExtension,BoomScissorLiftSize DistributionCenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_EducationalInstitutionalSpace_DMARCExtension,BoomScissorLiftSize EducationalInstitutionalSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_EntertainmentSpace_DMARCExtension,BoomScissorLiftSize EntertainmentSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_Government_DMARCExtension,BoomScissorLiftSize Government DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_HighRise_DMARCExtension,BoomScissorLiftSize HighRise DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_HospitalBuilding_DMARCExtension,BoomScissorLiftSize HospitalBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_HospitalityBuilding_DMARCExtension,BoomScissorLiftSize HospitalityBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_OfficeSpace_DMARCExtension,BoomScissorLiftSize OfficeSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_Restaurant_DMARCExtension,BoomScissorLiftSize Restaurant DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_RetailSpace_DMARCExtension,BoomScissorLiftSize RetailSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLiftSize_Warehouse_DMARCExtension,BoomScissorLiftSize Warehouse DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_Datacenter_DMARCExtension,BoomScissorLift Datacenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_DistributionCenter_DMARCExtension,BoomScissorLift DistributionCenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_EducationalInstitutionalSpace_DMARCExtension,BoomScissorLift EducationalInstitutionalSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_EntertainmentSpace_DMARCExtension,BoomScissorLift EntertainmentSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_Government_DMARCExtension,BoomScissorLift Government DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_HighRise_DMARCExtension,BoomScissorLift HighRise DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_HospitalBuilding_DMARCExtension,BoomScissorLift HospitalBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_HospitalityBuilding_DMARCExtension,BoomScissorLift HospitalityBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_OfficeSpace_DMARCExtension,BoomScissorLift OfficeSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_Restaurant_DMARCExtension,BoomScissorLift Restaurant DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_RetailSpace_DMARCExtension,BoomScissorLift RetailSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
BoomScissorLift_Warehouse_DMARCExtension,BoomScissorLift Warehouse DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_Datacenter_DMARCExtension,CeilingHeight Datacenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_DistributionCenter_DMARCExtension,CeilingHeight DistributionCenter DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_EducationalInstitutionalSpace_DMARCExtension,CeilingHeight EducationalInstitutionalSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_EntertainmentSpace_DMARCExtension,CeilingHeight EntertainmentSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_Government_DMARCExtension,CeilingHeight Government DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_HighRise_DMARCExtension,CeilingHeight HighRise DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_HospitalBuilding_DMARCExtension,CeilingHeight HospitalBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_HospitalityBuilding_DMARCExtension,CeilingHeight HospitalityBuilding DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
CeilingHeight_OfficeSpace_DMARCExtension,CeilingHeight OfficeSpace DMARCExtension,yaml_scope_field,job_context,J_SITE_LOGISTICS,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
