metric_name,description,origin_candidate,rationale,required_for_model,azure_target_table,notes
extractor=pricing_model_from_fee_section_choice,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=project_name_from_doc_title_or_subject,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=provider_pm_name_from_signature_or_contact_block,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=schedule_dates_from_move_plan_or_calendar_rows,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=site_address_from_doc_address_parser,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=site_count_from_location_table_or_explicit_count,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=site_list_from_location_table_or_attachment,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=site_name_from_location_table_or_header,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=sow_title_from_doc_title_or_subject,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=stakeholder_list_from_contacts_table_or_email_thread,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=summary_from_batched_sections,Document extraction signal from bronze_deal_yaml_context (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=summary_from_schedule_and_milestones_sections,Document extraction signal from bronze_deal_yaml_context (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=summary_from_scope_and_deliverables_sections,Document extraction signal from bronze_deal_yaml_context (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=summary_from_staffing_and_shift_sections,Document extraction signal from bronze_deal_yaml_context (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=time_window_from_explicit_schedule_mentions,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=title_from_doc_title_or_subject,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
feedback_record_id,Feedback record id captured in fact_feedback_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
feedback_timestamp,Feedback timestamp captured in fact_feedback_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
field_value,Field value captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
first_pass_flag,First pass flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
first_tool_touch_timestamp,First tool touch timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
geofence_arrival_timestamp,Geofence arrival timestamp captured in fact_arrival_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_arrival_event | core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
handoff_wait_min,Handoff wait min captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
improvement_after_feedback_score,Improvement after feedback score captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
incident_id,Incident id captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
insurance_wc_status,Insurance wc status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
inventory_variance_pct,Inventory variance percent captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
invoice_support_docs_flag,Invoice support docs flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
job_id,Job id captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_artifact_event | core.fact_domain_tool_log | core.fact_closeout_event | core.fact_dispatch_event | core.fact_escalation_event | core.fact_feedback_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
jsa_completed_flag,Jsa completed flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
label_accuracy_flag,Label accuracy flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
label_capture_flag,Label capture flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
label_review_status,Label review status captured in fact_artifact_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
ladder_inspection_flag,Ladder inspection flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
lift_cert_flag,Lift cert flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
loto_flag,Loto flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
mileage_actual,Mileage actual captured in fact_travel_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
near_miss_flag,Near miss flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
new_runbook_adoption_flag,New runbook adoption flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
next_step_handoff_flag,Next step handoff flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
notes_submitted_flag,Notes submitted flag captured in fact_artifact_event (semi_structured_or_text).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
offer_timestamp,Offer timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
operator_or_system_actor,Operator or system actor captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=batched_section_fill,Parse strategy=batched section fill captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=candidate_span_selection,Parse strategy=candidate span selection captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=count_parser,Parse strategy=count parser captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=currency_parser,Parse strategy=currency parser captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=date_parser,Parse strategy=date parser captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=enum_match_then_validate,Parse strategy=enum match then validate captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=fact_first_then_validate,Parse strategy=fact first then validate captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=measurement_parser,Parse strategy=measurement parser captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=percentage_parser,Parse strategy=percentage parser captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
parse_strategy=regex_then_parse,Parse strategy=regex then parse captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
part_id,Part id captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
part_shortage_flag,Part shortage flag captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
parts_shortage_flag,Parts shortage flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
pause_count,Pause count captured in fact_runbook_step_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
permit_or_mop_flag,Permit or mop flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
photo_accept_first_flag,Photo accept first flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
photo_required_count,Photo required count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_dispatch_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
photo_task_id,Photo task id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
photo_uploaded_count,Photo uploaded count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_dispatch_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
planned_eta_timestamp,Planned eta timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
planned_hours,Planned hours captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
planned_mileage,Planned mileage captured in fact_travel_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
planned_step_duration_min,Planned step duration min captured in fact_artifact_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_dispatch_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
pm_response_timestamp,Pm response timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
policy_requirement_flag,Policy requirement flag captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
portal_update_flag,Portal update flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
power_charging_ready_flag,Power charging ready flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
ppe_compliance_flag,Ppe compliance flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
professionalism_score,Professionalism score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
profile_text_or_list_value,Profile text or list value captured in bronze_technician_profile_snapshot (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
punchlist_closed_flag,Punchlist closed flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
punchlist_count,Punchlist count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
qc_checks_completed,Qc checks completed captured in fact_closeout_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,Recommend field_app ownership with idempotent event envelopes.
qc_task_id,Qc task id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
radius_15_timestamp,Radius 15 timestamp captured in fact_travel_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
radius_30_timestamp,Radius 30 timestamp captured in fact_travel_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
raw_profile_field_value,Raw profile field value captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
record_id,Record id captured in bronze_technician_profile_snapshot (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
region_or_language_if_applicable,Region or language if applicable captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
reminder_response_timestamp,Reminder response timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
repeat_request_flag,Repeat request flag captured in fact_feedback_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_doc_list,Required doc list captured in fact_tool_check_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
required_docs_opened_flag,Required docs opened flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_ppe_present_flag,Required ppe present flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_tool_manifest_id,Required tool manifest id captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_tools_present_flag,Required tools present flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
reschedule_flag,Reschedule flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
response_timestamp,Response timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
restricted_clearance_status,Restricted clearance status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
retest_cycle_count,Retest cycle count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_qc_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
retest_flag,Retest flag captured in fact_qc_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
return_visit_flag,Return visit flag captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
review_feedback,Review feedback captured in fact_artifact_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership with idempotent event envelopes.
review_timestamp,Review timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
reviewer_id,Reviewer id captured in fact_qc_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_qc_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
rework_cycle_count,Rework cycle count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
rework_flag,Rework flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
risk_flag_ack_flag,Risk flag ack flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
route_departure_timestamp,Route departure timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
route_plan_created_timestamp,Route plan created timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
runbook_version,Runbook version captured in fact_arrival_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_arrival_event | core.fact_dispatch_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
safety_report_timestamp,Safety report timestamp captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
schedule_conflict_flag,Schedule conflict flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
